box_number,box_code,box_name,eligible_voters,valid_votes,invalid_votes,total_votes,male_voted,female_voted,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,verified
T12,T12.1.3,215 | Maafannu Dhekunu - 3,765,579,6,585,294,291,21,3,209,257,13,25,47,4,1
T12,T12.1.4,216 | Maafannu Dhekunu - 4,672,512,4,516,301,215,11,1,165,260,18,10,45,2,1
T13,T13.1.1,217 | Villimale' - 1,654,487,11,498,260,238,10,1,177,222,4,10,46,17,1
T13,T13.1.2,218 | Villimale' - 2,621,470,7,477,243,234,8,0,166,206,10,21,44,15,1
T13,T13.1.3,219 | Villimale' - 3,569,434,10,444,213,231,9,2,167,183,6,14,25,28,1
T13,T13.1.4,220 | Villimale' - 4,516,348,7,355,218,137,5,1,134,160,10,7,27,4,1
T13,T13.1.5,221 | Villimale' - 5,459,330,4,334,151,183,5,0,96,193,3,7,20,6,1
T14,T14.1.1,223 | Henveyru Hulhangu - 1,749,544,7,551,265,286,21,2,190,222,28,29,51,1,1
T14,T14.1.2,224 | Henveyru Hulhangu - 2,770,557,18,575,268,307,23,0,167,256,25,39,44,3,1
T14,T14.1.3,225 | Henveyru Hulhangu - 3,749,508,14,522,233,289,30,0,166,211,12,29,52,8,1
T14,T14.1.4,226 | Henveyru Hulhangu - 4,526,397,7,404,236,168,10,0,120,208,11,12,31,5,1
T15,T15.1.1,227 | Mahchangolhi Medhu - 1,804,578,3,581,272,309,20,9,223,220,8,11,86,1,1
T15,T15.1.2,228 | Mahchangolhi Medhu - 2,844,652,8,660,317,343,29,1,240,286,3,23,66,4,1
T15,T15.1.3,229 | Mahchangolhi Medhu - 3,740,562,17,579,273,306,22,2,195,253,19,16,54,1,1
T15,T15.1.4,230 | Mahchangolhi Medhu - 4,514,345,56,401,249,152,5,1,96,200,17,1,22,3,1
TT.,TT.1.1,231 | Male' Rahyithun - 4,668,501,4,505,241,264,14,0,132,318,7,7,20,3,1
TT.,TT.1.2,232 | Male' Rahyithun - 5,756,603,2,605,253,352,15,0,197,322,22,2,40,5,1
TT.,TT.1.3,164  | Male'  Rahyithun -1,421,398,3,401,168,233,12,1,122,213,15,5,28,2,1
TT.,TT.1.4,165  | Male'  Rahyithun -2,373,289,7,296,124,172,11,1,53,190,8,8,16,2,1
TT.,TT.1.6,610 | Male' - Rahyithun - 6,626,579,12,591,245,346,14,0,124,386,12,10,22,11,1
U01,U01.04.1,238 | Aa. Mathiveri - 1,533,487,2,489,240,249,6,0,193,249,7,1,29,2,1
U01,U01.05.1,239 | Aa. Bodufolhudhoo - 1,466,420,3,423,225,198,13,0,321,70,16,0,0,0,1
U01,U01.06.1,240 | Aa. Feridhoo - 1,470,395,6,401,233,168,11,0,195,177,5,1,5,1,1
U01,U01.07.1,241 | Aa. Maalhos - 1,396,316,22,338,171,167,3,1,164,92,1,0,55,0,1
U01,U01.08.1,242 | Aa. Himandhoo - 1,506,386,7,393,229,164,7,0,189,137,4,0,49,0,1
U02,U02.01.1,233 | Aa. Thoddoo - 1,502,404,3,407,212,195,20,1,115,224,16,0,24,4,1
U02,U02.01.2,234 | Aa. Thoddoo - 2,630,508,5,513,253,260,14,0,201,208,16,7,59,3,1
U02,U02.02.1,235 | Aa. Rasdhoo - 1,670,548,6,554,290,264,3,1,210,224,10,0,94,6,1
U02,U02.02.2,236 | Aa. Rasdhoo - 2,121,99,0,99,71,28,3,1,30,55,0,0,8,2,1
U02,U02.03.1,237 | Aa. Ukulhas - 1,644,594,4,598,320,278,22,1,304,214,11,0,42,0,1
UT.,UT.1.1,"527 | AA. Atoll, Male' - 1",413,336,2,338,151,187,22,0,142,130,13,5,21,3,1
UT.,UT.1.2,"612 | AA. Atoll, Male' - 2",557,457,3,460,209,251,18,0,178,209,8,3,38,3,1
V02,V02.1.1,395 | Hulhule - 1,80,77,0,77,66,11,2,1,17,46,3,4,4,0,0
W01,W01.1.1,401 | India / Trivandrum - 1,417,272,5,277,131,146,7,0,149,90,7,0,17,2,1
W02,W02.1.1,403 | Malaysia / Kuala Lampur - 1,494,416,4,420,151,269,9,0,185,144,12,24,36,6,1
W02,W02.1.2,404 | Malaysia / Kuala Lampur - 2,468,384,2,386,157,229,10,0,151,148,4,20,42,9,1
W02,W02.1.3,616 | Malaysia / Kuala Lumpur - 3,461,367,3,370,208,162,16,1,132,156,7,17,26,12,1
W03,W03.1.1,405 | Srilanka / Colombo - 1,459,397,10,407,171,236,11,0,149,147,12,13,58,7,1
W03,W03.1.2,406 | Srilanka / Colombo - 2,392,345,3,348,111,237,7,0,152,133,9,4,37,3,0
W04,W04.1.1,409 | England / London - 1,465,275,6,281,125,156,4,0,122,77,19,20,30,3,0
W08,W08.1.1,413 | United Arab Emirates / Abu Dhabi - 1,171,95,2,97,56,41,3,0,48,33,4,1,4,2,0
X01,X01.1.1,396 | Hulhumale' Jail,257,237,3,240,191,49,27,2,71,115,14,0,6,2,1
X02,X02.1.1,397 | Maafushi Jail - 1,531,426,22,448,395,53,38,0,117,233,5,16,15,2,1
X02,X02.1.2,398 | Maafushi Jail - 2,475,309,33,342,320,22,13,2,80,160,6,25,22,1,1
X03,X03.1.1,399 | Asseyri Jail,377,315,17,332,314,18,18,2,119,106,7,2,58,3,1
X04,X04.1.1,400 | Dhoonidhoo Jail,143,124,6,130,124,6,17,0,22,85,0,0,0,0,1
YT.,YT.0.1,"569 | Hulhumale', Ehenihen - 1",622,517,4,521,235,286,18,0,166,292,7,9,25,0,1
YT.,YT.0.10,"578 | Hulhumale', Ehenihen - 10",576,457,2,459,175,284,17,1,163,217,8,7,35,9,1
YT.,YT.0.11,579 | Hulhumale' Ehenihen - 11,309,247,1,248,124,124,11,0,76,140,7,0,9,4,1
YT.,YT.0.12,"580 | Hulhumale', Ehenihen - 12",466,385,7,392,178,214,7,0,103,238,3,11,23,0,1
YT.,YT.0.13,"581 | Hulhumale', Ehenihen - 13",783,625,12,637,267,370,20,1,183,347,23,9,39,3,1
YT.,YT.0.14,"582 | Hulhumale', Ehenihen - 14",385,319,1,320,143,177,7,0,96,174,9,15,18,0,1
YT.,YT.0.15,"583 | Hulhumale', Ehenihen - 15",417,320,2,322,117,205,10,0,117,143,5,13,30,2,1
YT.,YT.0.16,"584 | Hulhumale', Ehenihen - 16",508,402,5,407,171,236,9,1,153,165,9,14,50,1,1
YT.,YT.0.17,"585 | Hulhumale', Ehenihen - 17",652,600,1,601,222,379,15,0,178,371,8,3,22,3,1
YT.,YT.0.2,"570 | Hulhumale', Ehenihen - 2",678,524,4,528,295,233,26,0,233,226,3,7,28,1,1
YT.,YT.0.20,"588 | Hulhumale', Ehenihen - 20",676,599,13,612,229,383,31,1,146,378,16,5,18,4,1
YT.,YT.0.25,"593 | Hulhumale', Ehenihen - 25",728,653,21,674,251,423,13,1,175,411,8,7,28,10,1
YT.,YT.0.29,"597 | Hulhumale', Ehenihen - 29",778,678,5,683,232,451,15,0,176,406,18,16,45,2,1
YT.,YT.0.3,"571 | Hulhumale', Ehenihen - 3",448,351,5,356,155,201,15,1,134,164,5,6,22,4,1
YT.,YT.0.33,"601 | Vilimale', Ehenihen - 1",780,606,10,616,241,375,28,0,210,305,8,11,33,11,1
YT.,YT.0.35,"603 | Vilimale', Ehenihen - 3",742,539,7,546,197,349,19,0,159,309,7,4,30,11,1
YT.,YT.0.4,"572 | Hulhumale', Ehenihen - 4",441,345,2,347,160,187,20,0,100,181,13,14,17,0,1
YT.,YT.0.5,"573 | Hulhumale', Ehenihen - 5",779,616,2,618,286,332,36,0,224,294,9,11,40,2,1
YT.,YT.0.7,"575 | Hulhumale', Ehenihen - 7",535,439,3,442,208,234,8,0,174,227,4,4,20,2,1
YT.,YT.0.8,"576 | Hulhumale', Ehenihen - 8",479,397,3,400,168,232,11,0,108,222,29,4,22,1,1
YT.,YT.0.9,"577 | Hulhumale', Ehenihen - 9",557,447,7,454,185,269,16,0,165,219,4,11,28,4,1
Z01,Z01.1.1,414 | JA Manafaru,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z03,Z03.1.1,416 | JW Marriott Maldives Resort & Spa,42,39,0,39,38,1,5,0,5,28,0,1,0,0,1
Z04,Z04.1.1,417 | Cheval Blanc Randheli,62,49,1,50,44,6,1,0,25,15,0,2,5,1,0
Z05,Z05.1.1,418 | Siyam World Maldives,81,75,0,75,65,10,4,0,38,30,0,2,0,1,1
Z06,Z06.1.1,419 | Sun Siyam Iru Fushi Maldives,80,70,4,74,69,5,2,0,47,17,0,1,3,0,1
Z08,Z08.1.1,421 | Robinson Noonu,38,24,1,25,22,3,2,0,8,9,1,0,4,0,1
Z09,Z09.1.1,422 | Dhigali Maldives,80,59,0,59,55,4,2,0,27,28,0,0,2,0,1
Z10,Z10.1.1,423 | You & Me By Cocoon,35,22,0,22,22,0,2,0,9,9,1,0,1,0,1
Z12,Z12.1.1,425 | Heritance Aarah,34,27,1,28,28,0,3,0,7,17,0,0,0,0,1
Z13,Z13.1.1,426 | Inter Continental Maldives Maamunagau,49,40,1,41,40,1,3,0,20,15,0,0,2,0,1
Z16,Z16.1.1,429 | Joali Muravandhoo,58,43,2,45,41,4,1,0,20,16,1,0,5,0,1
Z18,Z18.1.1,431 | Milaidhoo Island Maldives,57,50,0,50,46,4,4,0,24,14,2,1,5,0,1
Z19,Z19.1.1,432 | Royal Island Resort and Spa,75,66,0,66,63,3,4,0,17,17,25,0,2,1,1
Z20,Z20.1.1,433 | Vakkaru Maldives,57,52,0,52,48,4,1,0,21,25,2,0,2,1,1
Z21,Z21.1.1,434 | Amillafushi,40,35,0,35,29,6,3,0,17,13,0,0,2,0,1
Z22,Z22.1.1,435 | The Westin Maldives Miriandhoo Resort,41,39,2,41,35,6,1,0,14,22,0,0,2,0,1
Z23,Z23.1.1,436 | Finolhu Baa Atoll Maldives,60,52,1,53,44,9,3,0,26,19,0,0,4,0,1
Z24,Z24.1.1,437 | Reethi Beach Resort,36,31,0,31,31,0,1,0,17,8,3,0,0,2,1
Z25,Z25.1.1,438 | The Nautilus Maldives,47,40,0,40,34,6,5,0,15,15,0,0,5,0,1
Z26,Z26.1.1,439 | Kuredu Island Resort,39,35,1,36,35,1,3,0,9,21,0,0,2,0,1
Z28,Z28.1.1,441 | Atmosphere Kanifushi Maldives,35,32,0,32,27,5,2,0,12,11,0,0,7,0,1
Z31,Z31.1.1,444 | Malahini Kuda Bandos,45,38,0,38,32,6,4,0,12,15,3,0,3,1,1
Z32,Z32.1.1,445 | Paradise Island Resort and Spa,107,98,3,101,90,11,1,0,11,25,57,0,4,0,1
Z33,Z33.1.1,446 | Fihaalhohi Island Resort,66,57,1,58,56,2,3,1,23,26,0,1,3,0,1
Z34,Z34.1.1,447 | Huvafenfushi Maldives,56,50,0,50,46,4,0,0,27,21,0,0,2,0,1
Z35,Z35.1.1,448 | Velassaru Maldives,67,60,0,60,56,4,1,0,23,26,1,2,7,0,1
Z36,Z36.1.1,449 | Bandos Maldives,95,91,0,91,85,6,2,0,33,46,0,0,10,0,1
Z37,Z37.1.1,450 | Grand Park Kodhipparu Maldives,60,46,1,47,45,2,4,0,20,18,1,0,3,0,1
Z38,Z38.1.1,451 | Anantara Resort and Spa Maldives,96,80,0,80,78,2,5,0,29,35,2,0,9,0,1
Z39,Z39.1.1,452 | Sun Siyam Olhuveli Maldives,119,103,1,104,89,15,1,0,61,37,0,0,4,0,1
Z40,Z40.1.1,453 | Kurumba Maldives,103,89,0,89,84,5,7,0,27,44,1,1,9,0,1
